State,District,Sowing_Season,Irrigation_Status,Recommended_Varieties
Karnataka,Mandya,Rabi,Rainfed,Pusa 1121; MTU-1010; Birsa Vikas Dhan 109
Assam,Goalpara,Rabi,Limited Irrigation,Bora Rice; Khitish
West Bengal,Uttar Dinajpur,Summer (Hot Weather),Irrigated,SR 26B; Hamilton; CR Dhan 801
Jharkhand,Bokaro,Summer,Irrigated,Ratna; Rasi
Chhattisgarh,Jashpur,Late Kharif,Limited Irrigation,Udaya; Gayatri; Ranjit
Uttar Pradesh,Sitapur,Main Rabi,Limited Irrigation,Ratna; MTU-1010; Improved Sabarmati
Punjab,Amritsar,Early Kharif,Limited Irrigation,Konark; Punjab Basmati 7; Pooja
Chhattisgarh,Raigarh,Kharif,Irrigated,Dubraj; IR 64
West Bengal,North 24 Parganas,Summer,Limited Irrigation,Hamilton; Ciherang-Sub1; Swarna-Sub1
Karnataka,Koppal,Rabi,Limited Irrigation,Khitish; Swarna
Punjab,Patiala,Early Kharif,Irrigated,Sumati; Mahsuri; MTU-1224
Tamil Nadu,Thoothukudi,Rabi,Irrigated,MCM-100; MTU-1061
Chhattisgarh,Korba,Rabi,Irrigated,Improved Sabarmati; IR 64
Bihar,Paschim Champaran,Main Kharif,Rainfed,Mahanandi; Swarna-Sub1
Uttar Pradesh,Kheri,Late Kharif,Limited Irrigation,Annada; Naveen
Tamil Nadu,Salem,Late Kharif,Irrigated,Vijetha; Samba Mahsuri (BPT-5204)
Odisha,Koraput,Early Rabi,Limited Irrigation,CSR 36; CSR 27; Ratna
Chhattisgarh,Janjgir-Champa,Early Kharif,Rainfed,Gayatri; Sahbhagi Dhan
Odisha,Kendrapara,Early Kharif,Irrigated,Hamilton; JGL 384; PR 130
Punjab,Sangrur,Rabi,Limited Irrigation,Swarna; Rasi; GR 11
Andhra Pradesh,Nellore,Main Kharif,Irrigated,Swarna (MTU-7029); PR 121
Uttar Pradesh,Faizabad,Summer,Limited Irrigation,Satabdi; CSR 30
Chhattisgarh,Kabirdham,Summer (Hot Weather),Limited Irrigation,CSR 30; Dubraj
Karnataka,Shimoga,Main Kharif,Irrigated,MTU-1318; MTU-1121
Chhattisgarh,Kanker,Rabi,Limited Irrigation,Khitish; Swarna
Tamil Nadu,Nagapattinam,Kharif,Rainfed,Sahbhagi Dhan; CSR 43; Anjali
Assam,Tinsukia,Rabi,Limited Irrigation,Khitish; IR64-Sub1; Ciherang-Sub1
Punjab,Muktsar,Summer,Limited Irrigation,Ratna; IR 64; Improved Sabarmati; Taraori Basmati
Chhattisgarh,Raipur,Main Kharif,Limited Irrigation,Khandagiri; Lalat
Uttar Pradesh,Maharajganj,Early Kharif,Limited Irrigation,Pratiksha; CR Dhan 40
Chhattisgarh,Bastar,Kharif,Limited Irrigation,Indira; Dubraj
Odisha,Bhadrak,Late Kharif,Irrigated,Samba Mahsuri (BPT-5204); PR 130; MTU-1318
Punjab,SAS Nagar,Late Kharif,Rainfed,Pooja; Virendra; Surendra
Punjab,Faridkot,Rabi,Limited Irrigation,Taraori Basmati; Swarna; Jaya; Khitish
Chhattisgarh,Bastar,Main Kharif,Limited Irrigation,Annada; Ranjit; Pooja
Bihar,Begusarai,Late Kharif,Irrigated,JGL 1798; Samba Mahsuri-Sub1
Haryana,Jind,Kharif,Limited Irrigation,Pooja; Indira
Karnataka,Gadag,Main Kharif,Rainfed,Ranjit; Birsa Vikas Dhan 110
Bihar,Paschim Champaran,Early Rabi,Limited Irrigation,Pusa 1509; Swarna; MTU-1010
Punjab,Barnala,Summer,Limited Irrigation,CSR 30; Rasi; Improved Sabarmati; Taraori Basmati
Chhattisgarh,Raipur,Early Rabi,Limited Irrigation,CSR 30; IR 64
Punjab,Fazilka,Early Kharif,Limited Irrigation,Pooja; Annada; Vandana
Jharkhand,Hazaribagh,Main Kharif,Limited Irrigation,Surendra; Sahbhagi Dhan
Tamil Nadu,Cuddalore,Early Rabi,Irrigated,Lunishree; Pusa 1121; Hamilton
Uttar Pradesh,Faizabad,Late Kharif,Limited Irrigation,Pooja; Gayatri
West Bengal,Malda,Main Kharif,Rainfed,CSR 36; Birsa Vikas Dhan 110; Annada
Haryana,Yamunanagar,Late Kharif,Rainfed,Indira; Konark
Odisha,Rayagada,Early Kharif,Irrigated,Pusa 44; IR 64; HKR 47
Andhra Pradesh,Krishna,Kharif,Irrigated,PAU 201; Lunishree
Assam,Cachar,Early Kharif,Irrigated,HKR 47; RNR 15048
Jharkhand,Dhanbad,Summer (Hot Weather),Irrigated,Boro varieties; Improved Sabarmati
Haryana,Hisar,Rabi,Limited Irrigation,Swarna; Khitish
Chhattisgarh,Mahasamund,Rabi,Irrigated,Khitish; Pusa 1121
Andhra Pradesh,Srikakulam,Kharif,Rainfed,Vandana; SR 26B
Uttar Pradesh,Mau,Main Kharif,Rainfed,Kala Namak; Mahanandi
Jharkhand,Purba Singhbhum,Kharif,Rainfed,Konark; Naveen
Jharkhand,Lohardaga,Kharif,Irrigated,BPT-2231; MTU-1318; Mahsuri; HKR 47
Chhattisgarh,Rajnandgaon,Main Kharif,Irrigated,Vijetha; MTU-1318
Assam,Sibsagar,Rabi,Limited Irrigation,Improved Sabarmati; IR64-Sub1; Satabdi
Uttar Pradesh,Mau,Late Kharif,Rainfed,Kala Namak; Swarna-Sub1; Ranjit
Punjab,Pathankot,Early Rabi,Limited Irrigation,Ratna; GR 11; MTU-1010
Punjab,Kapurthala,Early Kharif,Irrigated,JGL 1798; Mahsuri
Tamil Nadu,Coimbatore,Main Rabi,Limited Irrigation,Jaya; MTU-1061
Tamil Nadu,Coimbatore,Early Kharif,Limited Irrigation,MCM-100; Pratiksha
Assam,Tinsukia,Main Rabi,Irrigated,MTU-1010; Bora Rice
Chhattisgarh,Korba,Main Kharif,Irrigated,PR 130; PR 131
Assam,Dibrugarh,Kharif,Limited Irrigation,Anjali; Gayatri; Udaya
Jharkhand,Purba Singhbhum,Main Kharif,Rainfed,Nagina 22; Pooja; Indira Barani 1
West Bengal,North 24 Parganas,Early Kharif,Irrigated,MTU-1318; PR 131; Swarna (MTU-7029)
Andhra Pradesh,Vizianagaram,Summer,Limited Irrigation,MTU-1061; Lunishree; Boro varieties
Assam,Dhubri,Kharif,Rainfed,Konark; Surendra
Uttar Pradesh,Sant Ravidas Nagar,Early Rabi,Irrigated,Improved Sabarmati; GR 11; Pusa 1121
Andhra Pradesh,Kurnool,Late Kharif,Rainfed,MCM-100; Mahanandi; CSR 36
West Bengal,Nadia,Kharif,Limited Irrigation,Anjali; Gobindobhog; MTU-1061; Annada
Punjab,Mansa,Late Kharif,Irrigated,JGL 384; BPT-2231; PR 131
Haryana,Kurukshetra,Main Kharif,Rainfed,Pratiksha; Indira; Indira Barani 1
Uttar Pradesh,Sultanpur,Summer (Hot Weather),Irrigated,IR 64; Kala Namak; Khitish
Bihar,Paschim Champaran,Summer (Hot Weather),Irrigated,Ratna; Ciherang-Sub1; IR64-Sub1
Chhattisgarh,Mahasamund,Summer,Limited Irrigation,Jeeraphool; Satabdi; Ratna
West Bengal,South 24 Parganas,Rabi,Limited Irrigation,SR 26B; IR 64; CSR 43; Lunishree
Haryana,Kaithal,Main Kharif,Irrigated,MTU-1121; BPT-2231
Assam,Goalpara,Early Kharif,Limited Irrigation,Mahanandi; Ciherang-Sub1
Chhattisgarh,Surguja,Rabi,Irrigated,GR 11; Badshah Bhog
Punjab,Gurdaspur,Main Rabi,Limited Irrigation,IR 64; GR 11
Odisha,Bargarh,Late Kharif,Rainfed,Pratiksha; Sahbhagi Dhan; Anjali
Chhattisgarh,Korba,Early Kharif,Irrigated,Mahsuri; Sumati
Karnataka,Kodagu,Early Rabi,Rainfed,Indira Barani 1; Birsa Vikas Dhan 110
Uttar Pradesh,Amethi,Rabi,Irrigated,MTU-1010; Adamchini; GR 11
Karnataka,Koppal,Early Rabi,Limited Irrigation,CSR 30; IR 64
Tamil Nadu,Pudukkottai,Rabi,Limited Irrigation,Improved Sabarmati; MTU-1061; Khitish
West Bengal,Howrah,Early Kharif,Limited Irrigation,Tulaipanji; Radhunipagal; MCM-100
Punjab,Muktsar,Rabi,Limited Irrigation,Swarna; IR 64; Taraori Basmati; Improved Sabarmati
Uttar Pradesh,Jaunpur,Rabi,Limited Irrigation,Pusa 1121; Pusa 1509; Ratna
Odisha,Koraput,Rabi,Irrigated,SR 26B; CSR 30
Chhattisgarh,Mahasamund,Summer,Irrigated,Improved Sabarmati; Jeeraphool
Uttar Pradesh,Chandauli,Summer,Limited Irrigation,Satabdi; IR 64
West Bengal,Darjeeling,Main Kharif,Limited Irrigation,Khandagiri; Surendra; Kataribhog
West Bengal,Alipurduar,Summer (Hot Weather),Irrigated,CR Dhan 801; MTU-1061; Radhunipagal
Punjab,Pathankot,Main Kharif,Irrigated,Pusa Basmati 1121; PR 126
West Bengal,Nadia,Late Kharif,Irrigated,Swarna (MTU-7029); Sumati
West Bengal,South 24 Parganas,Early Rabi,Rainfed,Hamilton; Rasi; CSR 43
Assam,Kamrup,Summer (Hot Weather),Irrigated,Rasi; IR 64
Haryana,Hisar,Rabi,Irrigated,Satabdi; Pusa 1121; Jaya; Khitish
Jharkhand,Deoghar,Early Kharif,Irrigated,Pusa 44; HKR 47; Swarna (MTU-7029)
West Bengal,Bankura,Main Rabi,Rainfed,Gobindobhog; Kataribhog; Nagina 22
Uttar Pradesh,Gorakhpur,Kharif,Limited Irrigation,Konark; Vandana
Punjab,Gurdaspur,Kharif,Limited Irrigation,Taraori Basmati; Naveen
Chhattisgarh,Sukma,Rabi,Irrigated,CSR 30; Vishnu Bhog
Tamil Nadu,Nagapattinam,Kharif,Rainfed,Sahbhagi Dhan; Swarna-Sub1
West Bengal,South 24 Parganas,Early Kharif,Rainfed,Pooja; Hamilton; Gobindobhog
Chhattisgarh,Dantewada,Main Kharif,Irrigated,MTU-1224; MTU-1262
Punjab,Mansa,Rabi,Limited Irrigation,Khitish; Satabdi; Jaya; Improved Sabarmati
Assam,Kokrajhar,Early Rabi,Limited Irrigation,Jaya; Khitish; IR64-Sub1
Assam,Cachar,Late Kharif,Irrigated,PR 126; PR 128
Andhra Pradesh,Vizianagaram,Main Kharif,Rainfed,CSR 27; CSR 36
Andhra Pradesh,Nellore,Kharif,Irrigated,PR 121; IR 64; Rasi; Mahsuri
Uttar Pradesh,Barabanki,Late Kharif,Irrigated,Rasi; Kala Namak; BPT-2231
Punjab,Kapurthala,Late Kharif,Rainfed,Saket 4; Udaya
Tamil Nadu,Tirunelveli,Main Kharif,Rainfed,Swarna-Sub1; CSR 43
Tamil Nadu,All,Rabi,Rainfed,MTU-1061; Sahbhagi Dhan; Rasi
Tamil Nadu,Tirunelveli,Early Kharif,Irrigated,PR 121; Mahsuri; MTU-1262
Jharkhand,Dhanbad,Early Kharif,Irrigated,RNR 15048; MTU-1121; Sumati
Chhattisgarh,Sukma,Main Rabi,Limited Irrigation,Vishnu Bhog; Jaya; Improved Sabarmati
Andhra Pradesh,Guntur,Kharif,Limited Irrigation,MCM-100; Vandana; Swarna-Sub1
Haryana,Jind,Summer,Irrigated,Improved Sabarmati; Satabdi
Bihar,Aurangabad,Main Rabi,Irrigated,Rasi; GR 11; Ciherang-Sub1
Assam,Goalpara,Main Rabi,Limited Irrigation,Khitish; CR Dhan 801
Karnataka,Shimoga,Early Rabi,Limited Irrigation,Jaya; Jeerige Sanna
Chhattisgarh,Rajnandgaon,Late Kharif,Rainfed,Virendra; Khandagiri; Ranjit
West Bengal,Birbhum,Summer,Irrigated,MTU-1061; Ciherang-Sub1
Haryana,Panipat,Summer (Hot Weather),Irrigated,Improved Sabarmati; Satabdi; Ratna
Jharkhand,Hazaribagh,Kharif,Limited Irrigation,Lalat; Vandana
Chhattisgarh,Jashpur,Main Rabi,Irrigated,Jaya; Vishnu Bhog
Chhattisgarh,Bastar,Main Kharif,Limited Irrigation,Vishnu Bhog; CR Dhan 40; Pratiksha
West Bengal,Bardhaman,Early Rabi,Limited Irrigation,CR Dhan 801; Pusa 1121; MTU-1010
Bihar,Patna,Main Rabi,Irrigated,Jaya; Satabdi; IR64-Sub1
Punjab,SBS Nagar,Late Kharif,Irrigated,MTU-1010; HKR 47
Uttar Pradesh,Jaunpur,Summer,Irrigated,Boro varieties; Jaya; Satabdi
Assam,Dibrugarh,Main Rabi,Irrigated,Pusa 1121; Khitish
Tamil Nadu,Sivaganga,Late Kharif,Irrigated,CSR 36; BPT-2231
Haryana,Fatehabad,Rabi,Limited Irrigation,IR 64; Jaya; GR 11
Tamil Nadu,Erode,Summer,Limited Irrigation,SR 26B; MTU-1061
Uttar Pradesh,Kheri,Kharif,Limited Irrigation,CR Dhan 40; Taraori Basmati
Assam,Darrang,Kharif,Limited Irrigation,Annada; Konark; Pooja
Uttar Pradesh,Amethi,Main Rabi,Irrigated,Kala Namak; Jaya
Punjab,Pathankot,Main Kharif,Rainfed,Indira Barani 1; Khandagiri; Nagina 22
Uttar Pradesh,Gorakhpur,Early Kharif,Limited Irrigation,Kala Namak; Naveen
Odisha,All,Kharif,Irrigated,Swarna-Sub1; Pusa 44; BPT-2231
Odisha,Sambalpur,Summer,Limited Irrigation,Rasi; MCM-100; SR 26B; IR64-Sub1
Chhattisgarh,Mahasamund,Rabi,Limited Irrigation,Jeeraphool; Badshah Bhog
Karnataka,Tumkur,Early Rabi,Limited Irrigation,Mysore Mallige; CSR 30; Pusa 1121
Chhattisgarh,Janjgir-Champa,Kharif,Rainfed,Lalat; Udaya
Punjab,Patiala,Early Rabi,Irrigated,Ratna; Punjab Basmati 7; Improved Sabarmati
Tamil Nadu,Tiruvarur,Rabi,Limited Irrigation,Pusa 1509; Improved Sabarmati; CSR 36
West Bengal,Hooghly,Main Rabi,Irrigated,Tulaipanji; MTU-1061
Assam,Cachar,Summer,Irrigated,Jaya; Satabdi; Swarna-Sub1
West Bengal,Hooghly,Summer (Hot Weather),Irrigated,CSR 43; Rasi
West Bengal,Paschim Medinipur,Kharif,Limited Irrigation,Pooja; CSR 27
Uttar Pradesh,Chandauli,Kharif,Rainfed,Surendra; Indira Barani 1
Assam,Jorhat,Rabi,Irrigated,Jaya; CR Dhan 801; Swarna
Uttar Pradesh,Azamgarh,Summer,Irrigated,Satabdi; Taraori Basmati
West Bengal,Purba Medinipur,Rabi,Limited Irrigation,CSR 30; Ratna
West Bengal,Alipurduar,Kharif,Irrigated,MTU-1318; Kataribhog
Tamil Nadu,Thanjavur,Main Kharif,Limited Irrigation,Sahbhagi Dhan; CSR 36; Gayatri
Punjab,Mansa,Main Kharif,Limited Irrigation,Pusa Basmati 1121; Taraori Basmati; Konark
Assam,Sibsagar,Early Kharif,Irrigated,Swarna-Sub1; HKR 47; Swarna (MTU-7029)
Haryana,Karnal,Main Kharif,Irrigated,Vijetha; PR 121
Jharkhand,Paschim Singhbhum,Summer,Limited Irrigation,Improved Sabarmati; Boro varieties
Odisha,Mayurbhanja,Summer (Hot Weather),Irrigated,Ratna; MCM-100; Hamilton
Assam,Sibsagar,Late Kharif,Rainfed,Khandagiri; CR Dhan 40
Tamil Nadu,Pudukkottai,Summer,Limited Irrigation,Lunishree; Improved Sabarmati
Andhra Pradesh,Nellore,Kharif,Rainfed,Virendra; Nagina 22; Gayatri; Saket 4
Uttar Pradesh,Siddharthnagar,Early Kharif,Limited Irrigation,Swarna-Sub1; Pratiksha; Kala Namak
West Bengal,Hooghly,Early Kharif,Irrigated,Kalonunia; PR 121
Chhattisgarh,Durg,Early Rabi,Irrigated,Pusa 1121; Swarna; Khitish
Assam,Kokrajhar,Main Kharif,Limited Irrigation,Joha Rice; Khandagiri
Andhra Pradesh,Srikakulam,Kharif,Irrigated,IR 64; PR 131; MTU-1224
Jharkhand,Deoghar,Early Kharif,Irrigated,PR 121; MTU-1224
Chhattisgarh,Bilaspur,Main Rabi,Limited Irrigation,IR 64; Badshah Bhog
Tamil Nadu,Sivaganga,Early Kharif,Irrigated,Hamilton; MTU-1224
Jharkhand,Gumla,Early Rabi,Irrigated,MTU-1010; Pusa 1121; GR 11
West Bengal,Nadia,Kharif,Rainfed,Anjali; CR Dhan 40
Uttar Pradesh,Ghazipur,Main Kharif,Limited Irrigation,Udaya; Sahbhagi Dhan
Jharkhand,Deoghar,Kharif,Rainfed,Udaya; Birsa Vikas Dhan 109
Bihar,Paschim Champaran,Early Kharif,Irrigated,CR Dhan 801; Mahsuri; Ciherang-Sub1
Punjab,Fazilka,Early Rabi,Limited Irrigation,Swarna; GR 11; Khitish
Chhattisgarh,Bilaspur,Summer (Hot Weather),Irrigated,IR 64; Ratna
Odisha,Mayurbhanja,Kharif,Irrigated,CSR 27; PR 130
Karnataka,Shimoga,Kharif,Limited Irrigation,Sahbhagi Dhan; Swarna-Sub1; Annada
Andhra Pradesh,Srikakulam,Main Kharif,Rainfed,Nagina 22; Indira Barani 1
Andhra Pradesh,Visakhapatnam,Summer (Hot Weather),Irrigated,MTU-1061; CSR 36; Hamilton
West Bengal,Bardhaman,Kharif,Irrigated,JGL 1798; MCM-100; IR 64; Swarna-Sub1
Jharkhand,Ranchi,Summer,Limited Irrigation,Rasi; Khitish; Improved Sabarmati; CSR 30
West Bengal,Purulia,Early Kharif,Limited Irrigation,Indira; Pooja
Haryana,Yamunanagar,Summer,Irrigated,Boro varieties; CSR 30; Khitish; Improved Sabarmati
Haryana,Kaithal,Kharif,Rainfed,Mahanandi; Saket 4; Virendra
Uttar Pradesh,Azamgarh,Main Kharif,Limited Irrigation,Konark; Sahbhagi Dhan
Chhattisgarh,Kanker,Summer (Hot Weather),Limited Irrigation,Improved Sabarmati; Vishnu Bhog; Satabdi
Karnataka,Mysore,Main Rabi,Rainfed,Khitish; Jeerige Sanna
Odisha,Bolangir,Kharif,Limited Irrigation,Pratiksha; Lunishree; CSR 27; Konark
Odisha,Ganjam,Summer,Limited Irrigation,Boro varieties; IR 64; Improved Sabarmati
Haryana,Yamunanagar,Rabi,Limited Irrigation,CSR 30; GR 11
Andhra Pradesh,Kurnool,Early Kharif,Limited Irrigation,Sahbhagi Dhan; Swarna-Sub1
West Bengal,Malda,Early Kharif,Rainfed,CR Dhan 40; MTU-1061
Odisha,Cuttack,Summer,Irrigated,Lunishree; Samba Mahsuri-Sub1
Bihar,Gopalganj,Early Rabi,Limited Irrigation,Ciherang-Sub1; Khitish
Assam,Sibsagar,Late Kharif,Rainfed,Naveen; Indira Barani 1; Birsa Vikas Dhan 110
West Bengal,Nadia,Early Rabi,Irrigated,CSR 36; Kalonunia
Bihar,Aurangabad,Main Rabi,Limited Irrigation,GR 11; IR 64; IR64-Sub1
Jharkhand,Ranchi,Summer (Hot Weather),Irrigated,CSR 30; Khitish; Satabdi
Punjab,Fazilka,Summer (Hot Weather),Irrigated,Jaya; Rasi; Improved Sabarmati
Tamil Nadu,Coimbatore,Rabi,Limited Irrigation,CSR 27; Satabdi
Tamil Nadu,Erode,Main Kharif,Irrigated,MTU-1121; MTU-1061
Assam,Kamrup,Main Kharif,Rainfed,Nagina 22; Birsa Vikas Dhan 110
Chhattisgarh,Rajnandgaon,Summer,Limited Irrigation,Khitish; Jeeraphool; Satabdi; Jaya
Karnataka,Bellary,Rabi,Irrigated,Swarna; Khitish; Rasi
Tamil Nadu,Nagapattinam,Kharif,Limited Irrigation,Mahanandi; SR 26B; Sahbhagi Dhan; Ranjit
Tamil Nadu,Ramanathapuram,Early Kharif,Irrigated,Rasi; JGL 384; CSR 36
Tamil Nadu,Sivaganga,Rabi,Limited Irrigation,CSR 36; CSR 27; MTU-1010
Haryana,Sirsa,Main Kharif,Limited Irrigation,Konark; Lalat
Tamil Nadu,Ramanathapuram,Early Rabi,Rainfed,Birsa Vikas Dhan 109; Vandana
Karnataka,Tumkur,Rabi,Irrigated,Jeerige Sanna; CSR 30
Chhattisgarh,Sukma,Rabi,Limited Irrigation,GR 11; Dubraj
Bihar,Bhagalpur,Early Kharif,Irrigated,Samba Mahsuri (BPT-5204); PR 128; HKR 47
West Bengal,Bardhaman,Late Kharif,Irrigated,MTU-1224; CSR 43; Ciherang-Sub1
West Bengal,Dakshin Dinajpur,Early Kharif,Limited Irrigation,Khandagiri; Samba Mahsuri-Sub1; Naveen
Punjab,Ludhiana,Kharif,Irrigated,Taraori Basmati; Rasi
Andhra Pradesh,Kadapa,Late Kharif,Limited Irrigation,CSR 43; Pooja; Surendra
West Bengal,Malda,Summer,Irrigated,MTU-1061; Tulaipanji; Lunishree; CSR 27
Assam,Cachar,Summer,Limited Irrigation,CR Dhan 801; Ratna
Assam,Dhubri,Summer,Limited Irrigation,Rasi; Satabdi
West Bengal,Nadia,Summer,Limited Irrigation,CR Dhan 801; Satabdi
Karnataka,Mysore,Rabi,Limited Irrigation,Mysore Mallige; Pusa 1509
Odisha,Kalahandi,Summer (Hot Weather),Limited Irrigation,Khitish; Rasi; SR 26B
Punjab,Malerkotla,Early Rabi,Limited Irrigation,Rasi; GR 11
Andhra Pradesh,Guntur,Early Rabi,Rainfed,IR 64; MTU-1010
Haryana,Sirsa,Rabi,Limited Irrigation,IR 64; Pusa 1509
Assam,Nagaon,Late Kharif,Rainfed,Naveen; Pratiksha
Punjab,SAS Nagar,Summer (Hot Weather),Limited Irrigation,Taraori Basmati; CSR 30; Satabdi
Chhattisgarh,Bastar,Rabi,Irrigated,Khitish; Ratna; Jeeraphool; Dubraj
Punjab,Fazilka,Summer,Irrigated,CSR 30; Khitish; IR 64
Andhra Pradesh,Nellore,Rabi,Irrigated,Hamilton; CSR 36; GR 11; CSR 27
Andhra Pradesh,East Godavari,Early Kharif,Limited Irrigation,Naveen; CSR 43; MTU-1061
Odisha,Bargarh,Summer,Irrigated,CSR 36; MCM-100; Rasi; Ratna
Haryana,Fatehabad,Summer,Limited Irrigation,Satabdi; IR 64
Uttar Pradesh,Muzaffarnagar,Main Kharif,Irrigated,Pusa Basmati 1121; Vijetha
Assam,Bongaigaon,Kharif,Irrigated,Vijetha; MTU-1262
Assam,Kamrup,Kharif,Limited Irrigation,Gayatri; Kola Joha; Ranjit; Lalat
Chhattisgarh,Rajnandgaon,Kharif,Limited Irrigation,Udaya; CR Dhan 40
Odisha,Sambalpur,Summer (Hot Weather),Limited Irrigation,MCM-100; Boro varieties; CSR 43
Punjab,Amritsar,Main Kharif,Limited Irrigation,Pusa Basmati 1121; Pratiksha
Haryana,Kurukshetra,Main Rabi,Limited Irrigation,Ratna; CSR 30; Khitish
Jharkhand,Lohardaga,Main Kharif,Limited Irrigation,Sahbhagi Dhan; Mahanandi; Swarna-Sub1
Andhra Pradesh,Chittoor,Summer,Irrigated,CSR 36; Jaya
Haryana,Fatehabad,Main Kharif,Rainfed,Birsa Vikas Dhan 110; Birsa Vikas Dhan 109
Odisha,Cuttack,Kharif,Irrigated,Ciherang-Sub1; Hamilton; MTU-1010; MCM-100
Uttar Pradesh,Ballia,Late Kharif,Limited Irrigation,Gayatri; CR Dhan 40; Lalat
Odisha,Puri,Summer (Hot Weather),Limited Irrigation,CSR 30; Boro varieties
Odisha,Bhadrak,Early Rabi,Limited Irrigation,Rasi; IR64-Sub1
Tamil Nadu,Thoothukudi,Early Kharif,Limited Irrigation,Mahanandi; CSR 27; Pooja
West Bengal,North 24 Parganas,Rabi,Rainfed,Improved Sabarmati; Swarna; Satabdi; Kalonunia
Punjab,Barnala,Early Kharif,Irrigated,PR 131; Vijetha; PR 130
Uttar Pradesh,Siddharthnagar,Early Rabi,Irrigated,Ratna; Pusa 1509; Jaya
Karnataka,Bellary,Kharif,Irrigated,JGL 1798; RNR 15048; JGL 384; Vijetha
West Bengal,North 24 Parganas,Early Kharif,Rainfed,Indira; Pooja; Birsa Vikas Dhan 110
Tamil Nadu,Tiruvarur,Summer,Limited Irrigation,IR 64; CSR 36; SR 26B
Odisha,Rayagada,Main Rabi,Limited Irrigation,Rasi; MCM-100; SR 26B
Jharkhand,Ranchi,Kharif,Irrigated,MTU-1262; JGL 1798
Chhattisgarh,Kabirdham,Main Kharif,Limited Irrigation,Surendra; Udaya; Konark
Odisha,Koraput,Kharif,Limited Irrigation,Lalat; Hamilton; Annada
Jharkhand,Giridih,Rabi,Irrigated,Rasi; Improved Sabarmati
Jharkhand,Purba Singhbhum,Main Rabi,Limited Irrigation,Rasi; Khitish; Ratna
Bihar,Rohtas,Main Kharif,Limited Irrigation,Ranjit; Samba Mahsuri-Sub1
Uttar Pradesh,Azamgarh,Kharif,Rainfed,Pooja; Pusa Basmati 1121; Konark; Pratiksha
Karnataka,Mysore,Main Kharif,Rainfed,Anjali; Saket 4
Punjab,Hoshiarpur,Main Rabi,Irrigated,IR 64; GR 11; Pusa Basmati 1121
Punjab,Ludhiana,Summer (Hot Weather),Irrigated,Ratna; CSR 30
Tamil Nadu,Pudukkottai,Kharif,Irrigated,CSR 27; IR 64; CSR 43; MTU-1262
West Bengal,Howrah,Late Kharif,Rainfed,SR 26B; Kataribhog; CSR 43
Bihar,Gopalganj,Late Kharif,Irrigated,Rasi; Ciherang-Sub1
Karnataka,Mandya,Late Kharif,Rainfed,Pooja; Pratiksha; Saket 4
West Bengal,Paschim Medinipur,Kharif,Irrigated,JGL 384; MTU-1224
Punjab,Moga,Kharif,Irrigated,MTU-1121; Mahsuri
Andhra Pradesh,West Godavari,Early Rabi,Rainfed,Indira Barani 1; IR 64; MCM-100
Jharkhand,Lohardaga,Early Rabi,Irrigated,Satabdi; IR 64
Punjab,Fatehgarh Sahib,Late Kharif,Irrigated,Mahsuri; MTU-1010
West Bengal,Dakshin Dinajpur,Main Kharif,Rainfed,CR Dhan 40; Badshabhog; MCM-100
Punjab,Rupnagar,Summer (Hot Weather),Irrigated,Pusa Basmati 1121; Khitish; CSR 30
Bihar,Purba Champaran,Rabi,Irrigated,MTU-1010; Ratna
West Bengal,North 24 Parganas,Main Rabi,Rainfed,SR 26B; CSR 27; Satabdi
Uttar Pradesh,Varanasi,Early Rabi,Irrigated,Pusa 1509; Adamchini
Uttar Pradesh,Kheri,Early Kharif,Limited Irrigation,Anjali; Sahbhagi Dhan
Chhattisgarh,Dhamtari,Kharif,Limited Irrigation,Pooja; Naveen
Andhra Pradesh,Nellore,Rabi,Limited Irrigation,Improved Sabarmati; CSR 27; Ratna; GR 11
Bihar,North-Eastern Plains - Regional,Rabi,Irrigated,Pusa 1509; IR64-Sub1; Rasi; CSR 30
Bihar,Samastipur,Early Rabi,Limited Irrigation,CSR 30; Khitish
Chhattisgarh,Korba,Late Kharif,Irrigated,MTU-1262; MTU-1224
West Bengal,Malda,Rabi,Limited Irrigation,Kataribhog; Swarna
Andhra Pradesh,Guntur,Kharif,Limited Irrigation,Lalat; Ranjit; Gayatri; CSR 36
Andhra Pradesh,Krishna,Early Kharif,Irrigated,RNR 15048; PR 126; JGL 384
Punjab,Bathinda,Summer (Hot Weather),Irrigated,Rasi; Punjab Basmati 7
West Bengal,North 24 Parganas,Main Kharif,Irrigated,PR 130; PR 128
Jharkhand,Gumla,Late Kharif,Rainfed,Indira; Sahbhagi Dhan
Uttar Pradesh,Shahjahanpur,Late Kharif,Irrigated,PR 126; PR 128; PR 130
Punjab,Tarn Taran,Early Rabi,Limited Irrigation,Taraori Basmati; CSR 30; GR 11
West Bengal,South 24 Parganas,Summer,Limited Irrigation,CSR 27; CSR 30
Assam,Dhubri,Early Kharif,Limited Irrigation,Samba Mahsuri-Sub1; Ranjit; Ciherang-Sub1
Andhra Pradesh,Prakasam,Late Kharif,Limited Irrigation,Lunishree; Konark; Mahanandi
Andhra Pradesh,Prakasam,Main Rabi,Irrigated,Pusa 1121; MCM-100; CSR 36
Punjab,Mansa,Late Kharif,Limited Irrigation,Naveen; Anjali; Indira
West Bengal,Purba Medinipur,Main Kharif,Rainfed,Birsa Vikas Dhan 110; CR Dhan 40; Indira Barani 1
